Unnamed: 0,Unnamed: 0.1,article_id,author,content,date,division,highlight,is_new,last_date,lead,media_desc,media_src,media_type,title,url
,,24851991,Tadeusz Kądziela,,2019-01-06 17:47:00,,,True,,"W pierwszym secie Iga Świątek była kompletnie bezradna, lecz później rozkręcała się z gema na gem. Pokonała Portorykankę Monicę Puig 0:6, 6:3, 6:3 i jako trzecia Polka w historii awansowała do IV rundy Rolanda Garrosa.",,,,Iga Świątek w IV rundzie Rolanda Garrosa! Niesamowita walka Polki w Paryżu,"http://wyborcza.pl/7,154903,24851991,iga-swiatek-w-iv-rundzie-rolanda-garrosa-niesamowita-walka.html"
,,24851433,Piotr Żytnicki,,2019-01-06 16:27:00,,,True,,"- Niezależne sądownictwo jest fundamentem demokracji - mówił Yavuz Aydi, były turecki sędzia, dziś uchodźca polityczny, podczas Kongresu Prawników Polskich w Poznaniu.",,,,"Kongres prawników w Poznaniu. O wynikach wyborów decydują pieniądze, a nie ład konstytucyjny","http://poznan.wyborcza.pl/poznan/7,36001,24851433,kongres-prawnikow-w-poznaniu-o-wynikach-wyborow-decyduja-pieniadze.html"
,,24850626,Michał Wojtczuk,,2019-01-06 07:00:00,,,True,,- To otwarcie wrót do komercyjnej anarchii w polskich miastach - tak zszokowani samorządowcy i społecznicy oceniają przygotowany przez rząd PiS projekt ustawy o planowaniu przestrzennym,,,,PiS zmienia ustawę o planowaniu przestrzennym. To będzie reklamowy armagedon,"http://warszawa.wyborcza.pl/warszawa/7,54420,24850626,pis-zmienia-ustawe-o-planowaniu-przestrzennym-to-bedzie-reklamowy.html"
,,24851097,koz,,2019-01-06 12:20:00,,,True,,"1,5 roku po wybudowaniu S5 na Dolnym Śląsku podwykonawcy firmy Astaldi wciąż walczą o pieniądze. Uważają się za ""pokrzywdzonych na inwestycjach GDDKiA"".",,,,"S5 od dawna gotowa, ale firmy wciąż walczą o pieniądze za jej budowę","http://wroclaw.wyborcza.pl/wroclaw/7,35771,24851097,s5-od-dawna-gotowa-ale-firmy-wciaz-walcza-o-pieniadze-za-jej.html"
,,24851490,pk,,2019-01-06 14:25:00,,,True,,"Krystyna Janda odebrała z rąk prezydenta Jacka Majchrowskiego medal miesięcznika ""Kraków"". ""Za mądrość, która w dzisiejszych czasach jest też odwagą, oraz za niezwykłe wzruszenia artystyczne, które dają nam także obywatelską nadzieję"".",,,,Medal Za Mądrość Obywatelską dla Krystyny Jandy,"http://krakow.wyborcza.pl/krakow/7,44425,24851490,medal-za-madrosc-obywatelska-dla-krystyny-jandy.html"
,,24851633,Paweł Wroński,,2019-01-06 15:24:00,,,True,,"Polskie Stronnictwo Ludowe do wyborów jesiennych chce pójść na czele bloku chrześcijańsko-demokratyczno-ludowego pod nazwą Koalicja Polska. Jednak czy do tego dojdzie, rada naczelna PSL zadecyduje pod koniec czerwca. Paradoksalnie ta decyzja jest...",,,,PSL opuszcza Koalicję Europejską. Chce budować własny blok - Koalicję Polską,"http://wyborcza.pl/7,75398,24851633,psl-wychodzi-z-koalicji-europejskiej-buduje-wlasny-blok-koalicje.html"
,,24851392,Michał Tokarczyk,,2019-01-06 14:23:00,,,True,,"Trójmiejskie feministki manifestowały w sobotę pod rezydencją metropolity gdańskiego Sławoja Leszka Głódzia. Na ogrodzeniu zawiesiły pluszowe zabawki, które mają przypominać o ofiarach księży pedofilów.",,,,Kościół jest winny!. Akcja przeciw księżom pedofilom pod rezydencją arcybiskupa Sławoja Leszka Głódzia,"http://trojmiasto.wyborcza.pl/trojmiasto/7,35612,24851392,kosciol-jest-winny-akcja-przeciw-ksiezom-pedofilom-pod-rezydencja.html"
,,24849772,Joanna Grabowska,,2019-01-06 14:18:00,,,True,,"Naukowcy z Uniwersytetu Cambridge zbadali koprolity, czyli skamieniałe kupy ludzkie, znalezione w słynnej neolitycznej osadzie Çatalhöyük w Turcji. Pochodziły z czasów, gdy ta osada zaczynała się przekształcać w jedno z pierwszych prehistorycznych...",,,,"W skamieniałych odchodach odkryli pasożyty, które dręczyły ludzi 8 tys. lat temu","http://wyborcza.pl/7,75400,24849772,te-pasozyty-doskwieraly-ludziom-juz-8-tysiecy-lat-temu-doskwieraly.html"
,,24851099,Maciej Orłowski,,2019-01-06 13:06:00,,,True,,"Departament Sprawiedliwości przygotowuje się do dochodzenia antymonopolowego przeciwko koncernowi Alphabet, do której należy Google - podaje dziennik ""The Wall Street Journal"".",,,,Biały Dom kręci bicz na Google'a. Trwają przygotowania do postępowania antymonopolowego,"http://wyborcza.pl/7,156282,24851099,departament-sprawiedliwosci-przygotowuje-dochodzenie-antymonopolowe.html"
,,24851242,Paweł Rutkiewicz,,2019-01-06 13:03:00,,,True,,Tragiczny w skutkach pożar wybuchł w opuszczonym kościele przy ul. Żeromskiego 56. W akcji brało udział 10 zastępów straży pożarnej. W pożarze zginęła jedna osoba.,,,,Pożar zabytkowego kościoła w Łodzi. Jedna osoba nie żyje,"http://lodz.wyborcza.pl/lodz/7,35136,24851242,tragiczny-pozar-zabytkowego-kosciola-w-lodzi-jedna-osoba-nie.html"
,,24850040,Wacław Radziwinowicz,,2019-01-06 12:34:00,,,True,,"Choć wiernych ubywa, w Rosji codziennie otwierane są trzy cerkwie. W wielu miejscach budzi to protesty. Rosjanom nie podoba się też wznoszenie coraz to nowych rezydencji dla patriarchy Cyryla",,,,Rosyjska Cerkiew kłuje wiernych w oczy,"http://wyborcza.pl/7,75399,24850040,rosyjska-cerkiew-kluje-wiernych-w-oczy.html"
,,24851189,moż,,2019-01-06 12:25:00,,,True,,"Na łączeniu niepogodzonych i budowaniu mostów spędziła całe życie. 91-letnia Irena Veisaite, litewska intelektualistka, badaczka, krytyk teatralny i obrończyni praw człowieka otrzymała w Sejnach tytuł Człowieka Pogranicza. To pierwsza kobieta...",,,,Przebaczyć i tworzyć przyszłość. Irena Veisaite Człowiekiem Pogranicza,"http://bialystok.wyborcza.pl/bialystok/7,35241,24851189,przebaczyc-i-tworzyc-przyszlosc-irena-veisaite-czlowiekiem.html"
,,24851178,OS,,2019-01-06 12:05:00,,,True,,Zmarła 71-letnia Paula Whitelaw. Kobieta przewróciła się na schodach na lotnisku w Krakowie i zraniła w głowę. O jej śmierci donosi dziś większość brytyjskich mediów.,,,,71-letnia Brytyjka przewróciła się na lotnisku w Krakowie. Trzy tygodnie później zmarła,"http://krakow.wyborcza.pl/krakow/7,44425,24851178,71-letnia-brytyjka-przewrocila-sie-na-lotnisku-w-krakowie-trzy.html"
,,24851134,oprac. mam,,2019-01-06 11:28:00,,,True,,Wypadek polskiego autokaru z dziećmi w Austrii. Młodzież ze szkoły podstawowej w Żarkach w woj. śląskim jechała na zieloną szkołę do Włoch - poinformowało radio RMF FM. Nikt nie odniósł poważniejszych obrażeń.,,,,Wypadek autokaru na autostradzie pod Wiedniem. Na wycieczkę jechali uczniowie z Żarek,"http://czestochowa.wyborcza.pl/czestochowa/7,48725,24851134,wypadek-autokaru-na-autostradzie-pod-wiedniem-na-wycieczke.html"
